"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Model danych, Repository i JdbcTemplate","","Encje z @Entity, @Id, @GeneratedValue, @Column. Relacje @OneToMany/@ManyToOne z @JoinColumn, @ManyToMany z @JoinTable. ","4","2.4"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Model danych, Repository i JdbcTemplate","","Repository rozszerzające JpaRepository<T, ID> z custom query methods (findBy... lub @Query). Pageable support (Page<T>) dla paginacji. Konfiguracja w application.yml (datasource, jpa, hibernate). Używanie plików .sql do inicjalizacji bazy/danych","5","3"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Model danych, Repository i JdbcTemplate","","JdbcTemplate jako dependency. Zapytania SELECT z query() i RowMapper. Operacje INSERT/UPDATE/DELETE z update(). Użycie w serwisie lub dedykowanym DAO.","5","3"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","REST API","","@RestController z @RequestMapping(""/api/v1/...""). GET (lista z paginacją, single), POST (tworzenie), PUT (aktualizacja), DELETE. @PathVariable, @RequestBody, @RequestParam. ResponseEntity z kodami HTTP (200, 201, 204, 400, 404).","7","4.2"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","REST API","","Springdoc OpenAPI i Swagger UI dostępny pod /swagger-ui.html. Poprawna dokumentacja endpointów.","5","3"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Warstwa aplikacji - Business Logic","","@Service, @Transactional(readOnly = true/false). Dependency injection przez konstruktor. Mapowanie Entity ↔ DTO. Własne wyjątki (ResourceNotFoundException). @RestControllerAdvice + @ExceptionHandler dla globalnej obsługi błędów.","3","1.8"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Warstwa aplikacji - Business Logic","","Walidacja w DTO: @NotNull, @NotBlank, @Size, @Email, @Valid. Bean Validation na poziomie kontrolera i serwisu. Spójne komunikaty błędów.","3","1.8"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Warstwa aplikacji - Business Logic","","@Controller z Model i @ModelAttribute. Widoki z th:each (listy), th:object/th:field (formularze). Wyświetlanie błędów (th:errors). Layout z fragmentami (th:fragment, th:replace). Bootstrap 5 styling.","3","1.8"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Warstwa aplikacji - Business Logic","","Upload plików (MultipartFile, enctype=""multipart/form-data""). Zapis na dysk (Files.copy). Download plików (Resource, ResponseEntity<byte[]>). Export do CSV/PDF.","3","1.8"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Spring Security","","SecurityFilterChain jako @Bean. authorizeHttpRequests z requestMatchers do kontroli dostępu. formLogin z konfiguracją. BCryptPasswordEncoder dla szyfrowania haseł. UserDetailsService z loadUserByUsername.","4","2.4"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Testowanie","","@DataJpaTest dla testowania repository. Min. 10 testów CRUD. RowMapper i custom queries.","2","1.2"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Testowanie","","@Mock, @InjectMocks, Mockito: when().thenReturn(), verify(). Unit testy dla logiki biznesowej.","3","1.8"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Testowanie","","@WebMvcTest lub @SpringBootTest dla controllerów REST. MockMvc: perform(), andExpect(). @WithMockUser dla testów Security. Min. 5 scenariuszy biznesowych.","2","1.2"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Common","Testowanie","","JaCoCo - coverage 70%+. Raport z pokryciem kodu. Testy obejmują Happy Path i Error Cases.","1","0.6"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Specific","Project-specific","","Strona główna z listą quizów. Po wybraniu quizu użytkownik podaje imię (bez rejestracji). Aplikacja wyświetla pytania jedno po drugim (lub wszystkie naraz). Po zakończeniu wyświetla wynik i zapisuje go w rankingu.","10","6"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Specific","Project-specific","","Implementacja logiki dla 8 typów pytań: Jednokrotny/Wielokrotny wybór, Prawda/Fałsz, Krótka odpowiedź, Lista wyboru, Luki, Sortowanie, Dopasowanie. Uwaga: Wystarczy prosty mechanizm sprawdzania (np. porównanie tekstu lub kolejności indeksów).","15","9"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Specific","Project-specific","","Formularz umożliwiający dodanie quizu i pytań do niego. Możliwość włączenia opcji: Losowa kolejność pytań, Losowa kolejność odpowiedzi, Limit czasu (np. zapisany w bazie, sprawdzany przy wysyłce), Punkty ujemne. Blokada przycisku 'Wstecz' w przeglądarce (logika frontendu).","15","9"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Specific","Project-specific","","Tabela wyświetlająca najlepszych graczy dla danego quizu (Nick + Wynik). Ranking dostępny po zakończeniu gry oraz z poziomu menu głównego.","5","3"
"b4fc7730-i39d-8ehh-e5f2-93ij78119fj4","project-5","draft","60","Specific","Project-specific","","Zabezpieczenie przed przesyłaniem pustych odpowiedzi. Poprawne zliczanie punktów (również ujemnych).","5","3"